,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9087910422523933,0.9039911771807736,0.30181419690901495,0.30118238092055316,0.29909776577343905,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6648232888972543,0.6615304688795937,0.22983874093189527,0.229464043932185,0.22802458789429447,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6919837261137559,0.6895359500254084,0.30660509644133715,0.3057780074706363,0.30418835783598547,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1863320607318555,1.1793065385470574,0.39609963331825193,0.39537625962738165,0.3927919024361102,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017017363606822954,0.016929960784848687,0.005800912409835287,0.005782329069138623,0.005728103795529325,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.040636795335303,9.026372449520458,2.442600216890031,2.4377226488203685,2.424321715421426,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.235710988413302,15.208705941882577,4.131227301165773,4.121476197480719,4.100645256929484,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.017297188158115442,0.01721631337755096,0.00847691805438527,0.008449182880914844,0.008380206286157436,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.123037690630078,8.112049494318502,2.188880801375314,2.1833973551615142,2.171395817825956,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.045925054049681675,0.04568813387406423,0.014201551410960465,0.01417265123193942,0.014122785102054006,,
QCD,717986.216814939,970717.8146709627,970717.8146709627,962458.1587531276,955401.3465800203,765705.1233537928,764101.3332905469,761176.544549736,,
TT,63126.80979180276,63126.80979180276,63126.80979180276,62748.65359108715,62350.558550020374,49581.08106018262,44369.23332839295,39189.123306614805,,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.019529035428,5352.781145230527,4336.103656997989,3970.877734250647,3563.181072832113,,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.098448265346,9376.427000646685,7837.1106797885595,7816.822928717539,7791.573471785453,,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11970.280347915328,11907.501953889905,6792.360403864935,6775.275920925513,6736.3344008445665,,
Diboson,544.751536187187,544.751536187187,544.751536187187,541.0881926888653,539.2414054191454,335.99317001586985,320.005274959971,303.302645896943,,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.07042524743345,119.27825223478067,38.98833072689881,38.96689356601732,38.77765380085667,,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.11233185743809,31.972834248054944,9.851790818054113,9.83324382470128,9.73510153256761,,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.50629199227846,32.37127325754241,9.930739682671923,9.898763690234336,9.809557224680384,,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.67763486575412,55.48629077310594,19.102692705898072,19.05832883661496,18.911407093008663,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.8517784616619,4.8285634978383225,1.9299360112620434,1.926057142399399,1.9095143794842424,,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,156.03648620372667,155.10345329641785,97.15099751928513,85.95956128176189,74.32330052260997,,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.16639644289663,79.67713590709836,63.657224321188984,52.8022508024436,43.60289736509357,,
Data,1061835.0,1061835.0,1061835.0,,,875363.0,866315.0,855954.0,1061835.0,1061835.0
