,SF,sys_unc,np_unc,stat_unc,sj_pt_unc,dist,unmatched
HHbbVV,0.83 +0.22-0.15,0.1313039494826845,0.03970796392225934,0.027762995957823625,0.0066762555528868395,+0.09-0.07,+0.20-0.09
ggHH_kl_2p45_kt_1_HHbbVV,0.82 +0.22-0.15,0.13795259408029273,0.03971168970942696,0.02792477961779576,0.0075802744198938815,+0.09-0.06,+0.20-0.09
ggHH_kl_5_kt_1_HHbbVV,0.81 +0.28-0.23,0.2500646822236997,0.043335325415119016,0.03749692885033715,0.009228130826884591,+0.08-0.07,+0.21-0.09
ggHH_kl_0_kt_1_HHbbVV,0.85 +0.24-0.17,0.13914456714189105,0.03357910995049799,0.02987061169440719,0.005409156599961383,+0.11-0.09,+0.21-0.10
VBFHHbbVV,0.91 +0.21-0.19,0.18087209892281284,0.018430364460010208,0.022099075476447936,0.004524920046018659,+0.07-0.07,+0.12-0.05
qqHH_CV_1_C2V_0_kl_1_HHbbVV,0.88 +0.14-0.09,0.07225579703334493,0.01816401111543049,0.01658153217442111,0.012703244301293326,+0.03-0.01,+0.14-0.06
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,0.88 +0.14-0.09,0.079255615443828,0.018405751248805214,0.017551471999687773,0.012630601929010008,+0.03-0.01,+0.13-0.06
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.96 +0.34-0.32,0.30550465275441835,0.0003731321946687158,0.02921483856441763,0.006273903765078337,+0.08-0.12,+0.14-0.06
qqHH_CV_1_C2V_2_kl_1_HHbbVV,0.89 +0.14-0.08,0.06346025856730726,0.01665870622834464,0.015117547980787184,0.012126044579955433,+0.03-0.01,+0.13-0.06
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.92 +0.19-0.13,0.1181790478317991,0.009890540456244712,0.01736279352319272,0.004202821586722728,+0.06-0.04,+0.15-0.06
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,0.86 +0.14-0.09,0.07666147244676028,0.01874330338549323,0.01728607854968066,0.013707896058241669,+0.03-0.01,+0.13-0.06
