,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,0.9147081031687907,0.9147081031687907,0.9021974589337566,0.8921274934572291,0.29705561791796636,0.29642689137626504,0.29437353650447756,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6606251851799471,0.654055669353281,0.22677336608932416,0.22640279403547958,0.22498524097615225,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6877389328223249,0.6810698404272066,0.30238891530816125,0.3015618263374604,0.30001786451469337,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.176818579571213,1.1617121639970687,0.38796216995086197,0.3872387962599917,0.38481449923755306,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.016919511679774117,0.016710528233663646,0.005732277356836404,0.005713694016139741,0.0056594687425304425,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.022591570183286,8.993098263152001,2.43086720934544,2.426008810676389,2.4127860101235914,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.199677089537838,15.145129783948754,4.1073224143626,4.097571310677545,4.076854002554098,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.01720697227181179,0.017039203791830167,0.00836543907682782,0.008337703903357394,0.008276609606428141,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.1076359787108,8.084305121253376,2.1793140607739483,2.1738463597955895,2.161936336139963,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.045614762720094335,0.045084105521786697,0.013983637533200484,0.013954737354179441,0.013904871224294024,,
QCD,717986.216814939,956785.8146709627,938661.3615136005,924579.0079995885,741099.5872399932,739572.4777698454,736742.0701811812,,
TT,63126.80979180276,63126.80979180276,62281.26379618576,61419.84821786183,48827.039128703036,43710.71917983769,38629.947657615056,,
ST,5417.824558008516,5417.824558008516,5343.110583081037,5284.0364074716335,4279.58513599101,3920.5742801966826,3519.826141176559,,
W+Jets,9487.889178263631,9487.889178263631,9357.72731042376,9249.165805487482,7725.66712348136,7705.534925302555,7681.143967058058,,
Z+Jets,12055.822300436781,12055.822300436781,11862.409496423767,11728.495220567063,6691.981356684962,6675.643989547845,6637.486427045783,,
Diboson,544.751536187187,544.751536187187,538.0128172568578,533.0567491419495,332.7127077180938,316.8027725739403,300.24671632987963,,
ggFHbb,120.74204174793252,120.74204174793252,119.40071843999348,117.91244552095317,38.4118699348613,38.3904327739798,38.20119300881916,,
VBFHbb,32.24173303425971,32.24173303425971,31.963053181455805,31.627848698776596,9.698761154629285,9.680214161276451,9.582071869142782,,
ZHbb,32.70020301080715,32.70020301080715,32.31418583302164,32.04157172822267,9.808835150191184,9.776859157753595,9.687652692199643,,
WHbb,56.014320595270185,56.014320595270185,55.31129788288006,54.93711011186556,18.863712978242347,18.819349108959244,18.677488367729833,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.818097766172652,4.7680686559651555,1.902902173155059,1.8991368209920378,1.8828778052970496,,
ttHbb,156.94119216557863,156.94119216557863,154.9802638394503,152.95156197255415,95.69624798737142,84.69558423256491,73.26421597631409,,
HWW,80.56791059341468,80.56791059341468,79.61251131832795,78.50954646527252,62.74209832945888,52.06892894790838,43.02795122389627,,
Data,1047903.0,1047903.0,,,863853.0,854944.0,844713.0,1047903.0,1047903.0
