,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9735,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9087910422523933,0.9039911771807736,0.30181419690901495,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6648232888972543,0.6615304688795937,0.22983874093189527,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6919837261137559,0.6895359500254084,0.30660509644133715,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1863320607318555,1.1793065385470574,0.39609963331825193,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017017363606822954,0.016929960784848687,0.005800912409835287,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.040636795335303,9.026372449520458,2.442600216890031,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.235710988413302,15.208705941882577,4.131227301165773,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.017297188158115442,0.01721631337755096,0.00847691805438527,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.123037690630078,8.112049494318502,2.188880801375314,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.045925054049681675,0.04568813387406423,0.014201551410960465,,
QCD,717986.216814939,970717.8146709627,970717.8146709627,962458.1587531276,955401.3465800203,765705.1233537928,,
TT,63126.80979180276,63126.80979180276,63126.80979180276,62748.65359108715,62350.558550020374,49581.08106018262,,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.019529035428,5352.781145230527,4336.103656997989,,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.098448265346,9376.427000646685,7837.1106797885595,,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11970.280347915328,11907.501953889905,6792.360403864935,,
Diboson,544.751536187187,544.751536187187,544.751536187187,541.0881926888653,539.2414054191454,335.99317001586985,,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.07042524743345,119.27825223478067,38.98833072689881,,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.11233185743809,31.972834248054944,9.851790818054113,,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.50629199227846,32.37127325754241,9.930739682671923,,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.67763486575412,55.48629077310594,19.102692705898072,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.8517784616619,4.8285634978383225,1.9299360112620434,,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,156.03648620372667,155.10345329641785,97.15099751928513,,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.16639644289663,79.67713590709836,63.657224321188984,,
Data,1061835.0,1061835.0,1061835.0,,,875363.0,1061835.0,1061835.0
