,Preselection,QCD SF,bbFatJetParticleNetMD_Txbb >= 0.97,VVFatJetParTMD_THWWvsT >= 0.8
QCD,1128757.3404261705,979287.6349132347,210430.09414706993,2269.1134530996765
TT,116428.4156578406,116428.4156578406,24255.315491153477,391.3575052230973
ST,10133.749871746222,10133.749871746222,2048.2546699879467,44.98804071000517
W+Jets,14863.589391946809,14863.589391946809,2704.0098010873708,84.0506933145966
Z+Jets,21810.249247296022,21810.249247296022,9830.13553043351,141.05219142274115
Diboson,944.5571650558329,944.5571650558329,412.484656415579,8.185628548079201
ggFHbb,226.95685088670757,226.95685088670757,157.27752402118352,1.6976052291726098
VBFHbb,66.97275111602431,66.97275111602431,47.449174893882,0.5332721672841487
ZHbb,63.96246914780236,63.96246914780236,45.379215471990825,0.844136317284847
WHbb,109.68223866342207,109.68223866342207,73.99520784233742,2.311863067588508
ggZHbb,9.637138831976987,9.637138831976987,5.872520883724087,0.08202381657508848
ttHbb,318.24018721235785,318.24018721235785,121.05255814898767,1.8803545549795848
HWW,153.35211702134148,153.35211702134148,31.224751489102488,2.6994308124911046
Data,1144417.0,1144417.0,228352.0,4042.0
HHbbVV,1.6972589881125741,1.6972589881125741,1.165708471296961,0.41390666332345805
VBFHHbbVV,0.03453368182590317,0.03453368182590317,0.02312944595056572,0.007144583275836816
X[900]->H(bb)Y[80](VV),11.32130937853819,11.32130937853819,7.873552535723545,3.009052605192225
X[1200]->H(bb)Y[190](VV),21.14089211171956,21.14089211171956,14.866381064420237,5.228521721525133
X[2000]->H(bb)Y[125](VV),28.88376935771871,28.88376935771871,21.07606159834289,8.958126931499525
X[3000]->H(bb)Y[250](VV),31.441474541327405,31.441474541327405,23.87835372253972,9.134223121799376
X[4000]->H(bb)Y[150](VV),31.760649900715155,31.760649900715155,24.65036736611105,11.179648846925485
