,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1126208.5372077702,1204990.9790546389,1091829.1940363718,1024773.1170107755,994157.197566238,216949.96391825774,17258.22126244557,586.6290206098511,586.6290206098511,577.0639156895356,,,
TT,126178.01663528233,126178.01663528233,115210.69518129839,105251.0227295055,103462.65944663838,24367.09560897135,1514.3143060950333,62.81810488119207,57.57977880783642,54.86897150046573,,,
ST,11213.018738828068,11213.018738828068,10135.318099485703,9453.421697644919,9311.551870442012,2215.5570485912194,135.95195559819365,8.740961024857365,8.071341734050725,7.466251669153837,,,
W+Jets,15930.077126498532,15930.077126498532,14787.420388844965,13942.346335360633,13662.906700192945,1976.6746590085647,115.75250523840359,11.580830904584436,11.404708693261835,11.230469490973135,,,
Z+Jets,22772.15825578505,22772.15825578505,20803.69477698711,19642.647887139225,19219.616607725595,3101.6566101586454,515.7445933393033,20.690474911099795,20.690474911099795,20.690474911099795,,,
Diboson,1008.6650414863541,1008.6650414863541,936.6974527373479,895.1833225237303,878.5967665689727,80.1812976097377,16.616241191471737,0.3455932721345744,0.3455932721345744,0.3455932721345744,,,
ggFHbb,223.1087799478259,223.1087799478259,208.33854851724132,190.73841503521086,185.45647306628297,137.18466382497598,70.5518080109697,2.1092934686929494,2.1092934686929494,2.0745985877495903,,,
VBFHbb,71.28205035333777,71.28205035333777,66.57144808367707,62.88355768217262,61.69945176446569,47.99029581908906,26.78764453897628,0.9943920784222061,0.9943920784222061,0.9943920784222061,,,
ZHbb,67.12062616739404,67.12062616739404,62.157177486409175,59.70902915031397,58.36298844539078,37.77566772647417,20.199974784051246,1.2521098690145496,1.2521098690145496,1.246536981145649,,,
WHbb,116.35029311753367,116.35029311753367,107.53226818147353,104.06975297147089,101.7858474416917,73.69249997830161,37.92361734349931,3.2668627773284724,3.2621437193243206,3.2550462244093605,,,
ggZHbb,10.311005316400477,10.311005316400477,9.445010817293094,8.875414890631745,8.725799047873851,4.516975987381081,2.105848277837194,0.10358736080033851,0.10358736080033851,0.10358736080033851,,,
ttHbb,354.83801865944884,354.83801865944884,321.3325445904349,292.5093450828418,289.32433388844214,100.05477182836177,32.36863452740576,1.4599808923791286,1.305178665272209,1.1595427278411286,,,
HWW,172.07437391871366,172.07437391871366,156.38756218617007,139.4408970163354,137.79293317392592,30.765860391091874,1.7617365277209847,0.2544375262318084,0.21619960513916608,0.1732197995564743,,,
Data,1383108.0,1383108.0,,,,250856.0,17962.0,1008.0,996.0,986.0,1270702.0,1193818.0,1182302.0
