,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1000283455508442,1.093563222944563,0.36881957801286125,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7964922393403449,0.7928382739676629,0.27643335964798127,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.835058321937548,0.8316139992092635,0.37364012018238557,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4228120731930771,1.4130533265554628,0.4854211537809283,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021440944541920692,0.021327016264919646,0.007706054195496111,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.991439674710634,10.972925334791851,2.999259952008066,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47629524681861,18.443564870299006,5.0935178853446885,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.02138645978059985,0.021286140659751034,0.010394625507128875,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.930464059707752,9.916398819305595,2.7044320235364823,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05588556143177802,0.05553878736217713,0.017954838124328118,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208523.5722318934,1200033.7819080197,968333.4816015975,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76057.90175062326,75546.39913344698,59791.400372422875,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6569.594060609604,6535.389534232395,5281.431876922224,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.825146611021,12264.924202464117,10268.312380642396,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.95480697945,14517.83317032325,8391.421257069986,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.274850691623,695.7930322677172,427.8893356031577,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.1359310079184,137.16716893739732,45.29711139715256,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.474722810632116,40.36086441370259,12.918779347138004,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.29663889299799,38.13726355471172,11.809667152238447,,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79172252987414,65.57398960849181,22.928034541851552,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.887904683527691,5.855217962847878,2.3434904878624687,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.88290996039103,185.72296875559454,116.09877758960441,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.04385400611787,96.33153606063196,77.29816288915787,,
Data,1331012.0,1331012.0,1331012.0,,,1100458.0,1331012.0,1331012.0
